,Scrape Date,Category,Thumbnail,Title,Stars,N_Ratings,Price,Availability,Description,Product Dimensions,Item Weight,Country of Origin,Number of Pieces,Batteries required,Brand,UPC,Number of Items,Manufacturer,ASIN,Best Sellers Rank,color,material,special feature,power source,item model number,price,delivery,customer ratings,sold by
0,2025-03-08 14:22:35.147649,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/81wU4Xn35DL._AC_SX679_.jpg,"Alpine Corporation 13"" Tall Indoor 4-Tier Cascading Tabletop Fountain with LED Lights, Gray",4.1,"1,336 ratings",$72.00,In Stock,"Enjoy the meditative sounds of nature indoors with the Alpine Corporation Cascading Tabletop Fountain! Take in the tranquil sounds of the water gently cascading over natural-looking gray stone in the comfort of your own home. This fountain is perfect for tabletops in your office, entryway, or out on your patio or yard. The polystone and fiberglass construction is weatherproof, rust-resistant, and durable for years of quality use. LED lights illuminate your space, drawing attention to the relaxing water pools day or night for added ambiance. To use, simply plug into an outdoor outlet, fill lower level with water, and watch as the interior pump creates a lovely water flow reminiscent of a lush rainforest. With a 1-year warranty, you can be confident in the quality of your purchase. Fountain measures 9""L x 7""W x 13""H, perfect for tabletops.","9""L x 7""W x 13""H",8.36 pounds,China,1,No,Alpine Corporation,821559013866,,Alpine Corporation,B001UFULUS,"#145,322 in Home & Kitchen (See Top 100 in Home & Kitchen) #40 in Tabletop Fountains",Stacked Stone W/ Led,Polystone with Fiberglass,"Lighted, Water Flowing, Patented",Corded Electric,WIN220,-15% $72.00$72.00List: $84.99,"Get it as soon as Thursday, Mar 13","4.14.1 out of 5 stars1,336",Amazon.com
1,2025-03-08 14:22:35.280311,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/71nmis0WbYL._AC_SX679_.jpg,Bits and Pieces - Indoor Water Lily Water Serenity Fountain - Compact & Lightweight Tabletop Decoration,3.9,"2,400 ratings",$44.99,In Stock,"Tabletop Fountains: Bits and Pieces indoor tabletop fountains create a soothing accent for any home or office. The sound of the water flowing is instantly relaxing and adds a sense of peace and tranquility to your environment
Water Lily Fountain: The water lily fountain features copper-colored metal blooms and metal leaves that have a green patina. Nature lovers can reconnect with the outdoors even while inside
Indoor Water Fountain: This indoor water fountain is ideal for home decor as it is compact and lightweight. You can add river stones or accessories (not included) to the bowl for an ever-changing fountain scene giving it a more natural look
Home Decor: Each indoor fountain includes a whisper quiet, electric recirculating pump that plugs into standard indoor electrical wall outlets. The water gracefully flows down into the bottom pool, where it is returned to the top of the fountain
Size: The Water Serenity Fountain measures 8” x 10” and is meant for indoor use only. Each design is an ideal gift or home decor piece for your desk or table","8""L x 8""W x 10""H",0.01 ounces,China,,,Bits and Pieces,192949026002 802567573016,,Melville Direct,B00VRW4BZA,"#295,591 in Home & Kitchen (See Top 100 in Home & Kitchen) #57 in Tabletop Fountains","Black, Copper",Aluminum,"Water Flowing, Quiet",Electric,COMINHKPR76530,-10% $44.99$44.99List: $49.99,"Get it as soon as Friday, Mar 14","3.93.9 out of 5 stars2,400",Bits And Pieces USA
2,2025-03-08 14:22:35.416880,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/61vEjplUwlL._AC_SX679_.jpg,"Homedics Tabletop Water Fountain, Home Décor Soothing Sound Machine - Automatic Pump, Deep Basin & Natural River Rocks. Indoor Zen Relaxation for Office, Living Room, or Bedroom, 8.25” Tall",4.2,"42,580 ratings",$29.99,In Stock,"Decorative Tabletop Fountain: Bring a calming, zen, and decorative feel to any room; 3 tiers create a gentle soothing flow of water replicating the sights and sounds of a tranquil spring
Easy to Use: Quiet, built-in, submersible pump automatically circulates the water, keeping it free of algae buildup; plug the corded power supply into an outlet to turn on; flip the off switch to turn off
Artistic Design: Asian-inspired 3-tier design; unique lighting feature creates a soft reflection; natural river rocks can be added to any tier or to the extra-deep, open-style basin
De-Stress Anytime: Use it to unwind after a hard day, drift off to sleep, meditate, or practice yoga; display it in your baby’s nursery so they can enjoy its sounds and soft glow as a night-light
What’s in the Box: (1) EnviraScape Silver Springs Relaxation Fountain, (1) Set of River Rocks, (3) Leaf Tiers; (1) Power Cord & Adapter, (1) Pump Cover, Water Pump & Fountain Base, (1) Quick-Start Guide","8.1""L x 7.25""W x 8.25""H",1 pounds,USA,,No,Homedics,031262028181,,HoMedics,B000QTUJXS,"#3,245 in Home & Kitchen (See Top 100 in Home & Kitchen) #1 in Tabletop Fountains",Black,Plastic,"Lighting, Rocks, Corded",Corded Electric,WFL-SLVS,-14% $29.99$29.99List: $34.99,"Get it as soon as Thursday, Mar 13","4.24.2 out of 5 stars42,580",Amazon.com
3,2025-03-08 14:22:35.557107,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/81CDqgqIaeL._AC_SX679_.jpg,"Alpine Corporation WCT202 Indoor Tabletop Tiered Water Fountain Featuring 3 Candles for Desktop and Table, 11"", Brown",4.3,"10,630 ratings",$30.22,In Stock,"Create a calming and serene atmosphere in any room with the Alpine Corporation WCT202 Indoor Tabletop Tiered Water Fountain. Standing at 11 inches tall, this charming 3-tier fountain is designed to add a peaceful zen-like element to your home or office. The water cascades gently from each tier, providing the soothing sounds of a natural waterfall, perfect for relaxation, meditation, or enhancing your focus during work. Crafted to mimic the look of weathered stone, the resin pillars bring a rustic, natural touch to your décor, while the included real river stones add visual texture and authenticity. This tabletop fountain is designed to fit seamlessly on a desk, coffee table, mantel, or any other small space, making it ideal for apartments, offices, or bedrooms. The fountain comes with three tealight candles that can be placed in the pillars, providing soft, romantic lighting that enhances the peaceful ambiance. The flickering candlelight, combined with the gentle water flow, creates an intimate and soothing atmosphere that helps you unwind after a long day or set the mood for a cozy evening. Easy to set up, the Alpine WCT202 Fountain requires just a simple plug-in, and the included interior pump keeps the water flowing smoothly for continuous enjoyment. The fountain measures 9""L x 9""W x 11""H, making it a perfect fit for any countertop or small space. It also comes with a 2-year manufacturer's Support, ensuring you can enjoy the tranquility it brings for years to come. Whether you’re looking to add a peaceful touch to your office desk, a cozy accent to your living room, or a relaxing atmosphere to your bedroom, the Alpine WCT202 Indoor Tabletop Fountain is a perfect addition to any space, bringing both beauty and serenity to your home.","9""L x 9""W x 11""H",3.17 pounds,China,1,No,Alpine Corporation,821559009241 082155900923 821559009234,,Alpine Corporation,B002YKMPQ6,"#20,284 in Home & Kitchen (See Top 100 in Home & Kitchen) #2 in Tabletop Fountains",Brown,Resin,Lighted,Corded Electric,WCT202,-50% $30.22$30.22List: $59.99,"Get it as soon as Thursday, Mar 13","4.34.3 out of 5 stars10,630",Amazon.com
4,2025-03-08 14:22:35.704266,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/61h+wePZo-L._AC_SX679_.jpg,Ceramic Tabletop Fountain for Indoor and Home Decoration Table Desk Office Patio (Ceramic Pot Fountain) (Black),4.3,207 ratings,$45.95,In Stock,"Ceramic tabletop fountain for indoor use home decor size : 7.85w * 7.45H Material : Ceramic include : water pump 6 foot long power cord , easy to instruciton pump is adjustable for the big and small waterfall","7.85""L x 7.85""W x 7.45""H",4.1 pounds,,,,Andady,086972739247,,Quanzhou xiaogezi internet technology company Limited,B09G63YXMV,"#113,978 in Home & Kitchen (See Top 100 in Home & Kitchen) #13 in Tabletop Fountains",Black,Ceramic,Adjustable,Corded Electric,,-8% $45.95$45.95List: $49.99,"Get it as soon as Thursday, Mar 13",4.34.3 out of 5 stars207,Andady
5,2025-03-08 14:22:35.833979,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/61r6IFo-8iL._AC_SX679_.jpg,Indoor 4-Tier Relaxation Tabletop Fountain Waterfall Function，with Warm Color LED Lights and 3-Level Adjustable Water Pump for Home and Office Decoration Brown,3.8,376 ratings,$19.19,In Stock,"Artistic Design: The combination of stone-milling and flowing water creates the natural charm of mountains and flowing water. The surface of the stone-grinding flowing water ornament adopts pure hand-painting process, and we carefully carve the classical beauty with each stroke.
Enjoy the Sound of Flowing Water: Four layers of flowing water in different directions create irregular drops, the ethereal sound of flowing water can relieve your stress and fatigue, and can also make you relax and sleep peacefully.
Accessories Description: The desktop fountain is made of high-quality ABS plastic material, the quiet built-in submersible pump automatically circulates the water, the water pump has 3 levels that can be adjusted according to your needs, and the yellow warm LED light.
Elegant Decoration: The desktop fountain can be placed in the living room, kitchen or bedroom, or it can be placed on the office table, and feel the tranquility and comfort brought by the water flow at any time.
Packaging: Stone-milled running water ornament, water pump with power cord, and fountain base. Note that the water pump uses a 110V standard power supply.","6.18""L x 5.12""W x 7.48""H",1.54 pounds,China,,,SAUHOHLE,734730678221,,SAUHOHLE,B0B778H3D5,"#174,772 in Home & Kitchen (See Top 100 in Home & Kitchen) #33 in Tabletop Fountains",Brown,—,"Adjustable,Led,Led Lights",Corded Electric,table fountain,$19.19$19.19,"Get it as soon as Thursday, Mar 13",3.83.8 out of 5 stars376,wenzhouxunyun
6,2025-03-08 14:22:36.042840,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/81+cGt30aZL._AC_SX679_.jpg,"Indoor Fountain 4-Bowl Rockery Soothing Sound Tabletop Fountains Home/Office Decor Gift for Mom,Mother Day Present with A Small Plastic Pot to Grow Plant/Hebs by Yourself (Automatic Watering)",4.0,252 ratings,$50.19,In Stock,"Material & Design: Crafted from durable, lightweight polyresin Elegant 4-bowl rockery design Compact tabletop size: 6.5"" x 5.5"" x 9.8"" Exquisite handcrafted texture
Features: Plug-in power for continuous operation LED illumination for nighttime ambiance Soothing waterfall sound for relaxation and meditation Quick and easy setup
Versatility: Ideal for any indoor space Suitable for use near pools, ponds, tanks, or aquariums Includes a plastic pot for adding small plants Self-circulating system waters plants automatically
Benefits: Creates a zen atmosphere Adds unique charm to your room Allows for personalized design with various plants Helps purify the air
Customizable with Plants: Includes a plastic pot for adding small plants Self-circulating system provides automatic watering Allows for personalized designs with various suitable plants Enhances room aesthetics while helping to purify the air","6.5""L x 5.5""W x 9.8""H",2.9 pounds,China,,,Haobos,,,Evisso,B0B4NH54J8,"#114,977 in Home & Kitchen (See Top 100 in Home & Kitchen) #14 in Tabletop Fountains",22023,"Resin, Plastic","Create a tranquil atmosphere, Grow plant on the fountain(automatic watering), Soothing Sound, Decent Gift, Mom Grandma Gift",Corded Electric,22023,$50.19$50.19,"Get it as soon as Thursday, Mar 13",4.04.0 out of 5 stars252,Haobos
7,2025-03-08 14:22:36.167141,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/71E4odfQKXL._AC_SX679_.jpg,Tabletop Fountain Rotating Ball Rock Waterfall Fountain Office Tabletop Fountains for Home Office Decor Includes Many Natural River Rocks Decorated with Colorful Lights and Rolling Ball,4.3,432 ratings,$28.99,In Stock,,"9.05""L x 7.08""W x 10.63""H",2.55 pounds,China,,,AMOOTEK,,,MADE IN CHINA,B0B3XKTZ5S,"#81,293 in Home & Kitchen (See Top 100 in Home & Kitchen) #6 in Tabletop Fountains",Rock,Resin,"Easy To Use,Durable",Corded Electric,AM-302,$28.99$28.99,"Get it as soon as Thursday, Mar 13",4.34.3 out of 5 stars432,Amootek-US
8,2025-03-08 14:22:36.297768,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/71Mp5roQY4L._AC_SX679_.jpg,"Mindsight ‘Calming Cloud’ Tabletop Water Fountain Quiet Pump Splash Resistant Zen & Nature Décor Promotes Focus, Stress Relief, Creativity, Sleep Reminder to Pause & Reset Home or Desk",4.1,78 ratings,$49.95,In Stock,"🌧️ AN INNOVATIVE INDOOR WATER FOUNTAIN: Our quiet pump allows you to enjoy the peaceful sound of ‘light rain’. 'Visualize gentle rainfall into a pond'. The splash resistant 'lily' pad helps contain water and protect your table or desk. The LEDs 'light up the cloud', creating a 'beautiful sky', and set the mood. Premium parts, thoughtful design, and peace of mind.
🌧️ ADD CALM TO YOUR HOME OR OFFICE: Creates a gentle reminder to Pause & Reset in the spirit of mindfulness. An engaging ‘anchor’ for visual or sound meditation. At night, a soothing background of 'light rain' can help you feel secure, distract from racing thoughts and induce sleep. 🌧 LIGHT RAIN SOUND: (SEE VIDEO ON LEFT). Safely designed below 50 decibels. Best experienced between 1 - 7 feet on tabletop, desk, night stand, end table, or kitchen countertop.
🌧️ STUDIES FIND BENEFITS OF A PEACEFUL HOME & WORKSPACE: Can improve Focus, Productivity & Creativity. Can drive better mental & physical health through increased overall Mindfulness, Less Anxiety & Better Sleep.
🌧️ FEATURES: Fully assembled & ready to use - just add water 3 hour auto shut off 7 calming 'cloud' colors + 5 brightness levels Quiet pump & splash resistant design Extra splash resistant pad + 2 pump filters included.
🌧️ PRODUCT WARRANTY: 1 year for Manufacturer defects. 🌧️ QUALITY MATERIALS: ABS & PP plastic, faux wood finish, stainless steel poles. 🌧️ SIZE DIMENSIONS (PLEASE MEASURE TO ENSURE FITS TABLE OR DESK): diameter 7.5”; height 9.5” 🌧️ CORD: Yes. User can also detach from its wall outlet adaptor & plug directly into USB A port. 🌧️ CLEANING: BASIN-- simply lift 'lid' to access. Wipe with soft cloth, a splash of white vinegar, then rinse CLOUD-- easily twist off outer & inner clouds (no screws) to access. Use tool (included) to keep water holes unclogged and free of debris.","7.4""L x 7.4""W x 9.4""H",2.16 pounds,China,,,Mindsight,850030470089,,Mindsight,B0DBBKQ9KB,"#88,636 in Home & Kitchen (See Top 100 in Home & Kitchen) #9 in Tabletop Fountains",Woodgrain Look,Resin,"Corded, Lighted",Corded Electric,,$49.95$49.95,"Get it as soon as Thursday, Mar 13",4.14.1 out of 5 stars78,Mindsight
9,2025-03-08 14:22:36.439115,Home & Kitchen\Home Décor Products\Indoor Fountains & Accessories\Tabletop Fountains,https://m.media-amazon.com/images/I/81quGoPek1L._AC_SX679_.jpg,"Kalona Décor Desktop Fountain - 10"" 4-Tier Design with Imitation Stone, Indoor Waterfall Tabletop River Rocks & Resin Material for Serene Meditation & Relaxation - Ideal for Home & Office Decor",4.4,83 ratings,$37.99,In Stock,"Indoor fountain: The built-in circulating water pump makes the desktop fountain form 5 waterfalls, and at the same time, it emits a clear sound of water flow, so that you can enjoy a sense of meditation and relaxation after busy work or after meal.
Natural appearance：This fountain looks like a castle made of rock, and the mountain spring flows out from the top of the castle. The sound of gurgling water also brings a sense of nature.
Suitable size: 21x16.5x25.5cm (8.27x6.5x10.04in), weighing 1.385lbs; It can be placed in multiple occasions (office, leisure, dining, reading, etc.).
Durable: The resin material guarantees the weatherability of the desktop fountain, and the high-quality pump makes the water flow continuously. As long as it is properly maintained, it will still accompany you after many years.
Easy to use: Just pour in a proper amount of water and plug in the electricity, then you can use it normally, and immediately enjoy the comfortable sound of running water","8.27""L x 6.5""W x 10.04""H",1.38 pounds,China,,,Kalona,,,Kalona,B0BZMJ4N4P,"#216,764 in Home & Kitchen (See Top 100 in Home & Kitchen) #43 in Tabletop Fountains",Stone/Beige,Resin with Stone-like Elements,"Durable,Easy To Use",Corded Electric,,-7% $37.99$37.99List: $40.69,"Get it as soon as Thursday, Mar 13",4.44.4 out of 5 stars83,Kalona.
